take_name,split,task,label
fair_bike_01_7,train,Bike Repair,7
fair_bike_01_8,train,Bike Repair,7
fair_bike_02_10,train,Bike Repair,7
fair_bike_02_11,train,Bike Repair,7
fair_bike_02_12,train,Bike Repair,7
fair_bike_02_2,train,Bike Repair,7
fair_bike_02_3,train,Bike Repair,7
fair_bike_02_4,train,Bike Repair,7
fair_bike_02_6,train,Bike Repair,7
fair_bike_02_7,train,Bike Repair,7
fair_bike_02_8,train,Bike Repair,7
fair_bike_06_10,train,Bike Repair,7
fair_bike_06_11,train,Bike Repair,7
fair_bike_06_12,train,Bike Repair,7
fair_bike_06_14,train,Bike Repair,7
fair_bike_06_15,train,Bike Repair,7
fair_bike_06_16,train,Bike Repair,7
fair_bike_06_18,train,Bike Repair,7
fair_bike_06_19,train,Bike Repair,7
fair_bike_06_2,train,Bike Repair,7
fair_bike_06_20,train,Bike Repair,7
fair_bike_06_3,train,Bike Repair,7
fair_bike_06_4,train,Bike Repair,7
fair_bike_06_6,train,Bike Repair,7
fair_bike_06_7,train,Bike Repair,7
fair_bike_06_8,train,Bike Repair,7
fair_bike_07_10,train,Bike Repair,7
fair_bike_07_11,train,Bike Repair,7
fair_bike_07_12,train,Bike Repair,7
fair_bike_07_14,train,Bike Repair,7
fair_bike_07_15,train,Bike Repair,7
fair_bike_07_16,train,Bike Repair,7
fair_bike_07_18,train,Bike Repair,7
fair_bike_07_19,train,Bike Repair,7
fair_bike_07_2,train,Bike Repair,7
fair_bike_07_20,train,Bike Repair,7
fair_bike_07_3,train,Bike Repair,7
fair_bike_07_4,train,Bike Repair,7
fair_bike_07_6,train,Bike Repair,7
fair_bike_07_7,train,Bike Repair,7
fair_bike_07_8,train,Bike Repair,7
fair_bike_08_10,train,Bike Repair,7
fair_bike_08_12,train,Bike Repair,7
fair_bike_08_14,train,Bike Repair,7
fair_bike_08_16,train,Bike Repair,7
fair_bike_08_17,train,Bike Repair,7
fair_bike_08_18,train,Bike Repair,7
fair_bike_08_2,train,Bike Repair,7
fair_bike_08_4,train,Bike Repair,7
fair_bike_08_6,train,Bike Repair,7
fair_bike_08_8,train,Bike Repair,7
fair_bike_09_10,train,Bike Repair,7
fair_bike_09_2,train,Bike Repair,7
fair_bike_09_4,train,Bike Repair,7
fair_bike_09_6,train,Bike Repair,7
fair_bike_09_8,train,Bike Repair,7
fair_bike_10_10,train,Bike Repair,7
fair_bike_10_2,train,Bike Repair,7
fair_bike_10_4,train,Bike Repair,7
fair_bike_10_6,train,Bike Repair,7
fair_bike_10_8,train,Bike Repair,7
fair_cooking_05_2,train,Cooking,4
fair_cooking_05_4,train,Cooking,4
fair_cooking_05_6,train,Cooking,4
fair_cooking_06_2,train,Cooking,4
fair_cooking_06_4,train,Cooking,4
fair_cooking_06_6,train,Cooking,4
fair_cooking_07_2,train,Cooking,4
fair_cooking_07_4,train,Cooking,4
fair_cooking_08_10,train,Cooking,4
fair_cooking_08_2,train,Cooking,4
fair_cooking_08_4,train,Cooking,4
fair_cooking_08_6,train,Cooking,4
fair_cooking_08_8,train,Cooking,4
fair_cooking_09_2,test,Cooking,4
fair_cooking_09_4,test,Cooking,4
fair_cooking_09_6,test,Cooking,4
fair_cooking_09_8,test,Cooking,4
georgiatech_bike_01_10,train,Bike Repair,7
georgiatech_bike_01_11,train,Bike Repair,7
georgiatech_bike_01_2,train,Bike Repair,7
georgiatech_bike_01_4,train,Bike Repair,7
georgiatech_bike_01_6,train,Bike Repair,7
georgiatech_bike_01_8,train,Bike Repair,7
georgiatech_bike_02_11,train,Bike Repair,7
georgiatech_bike_02_2,train,Bike Repair,7
georgiatech_bike_02_4,train,Bike Repair,7
georgiatech_bike_02_6,train,Bike Repair,7
georgiatech_bike_02_8,train,Bike Repair,7
georgiatech_bike_02_9,train,Bike Repair,7
georgiatech_bike_03_10,train,Bike Repair,7
georgiatech_bike_03_11,train,Bike Repair,7
georgiatech_bike_03_12,train,Bike Repair,7
georgiatech_bike_03_2,train,Bike Repair,7
georgiatech_bike_03_3,train,Bike Repair,7
georgiatech_bike_03_5,train,Bike Repair,7
georgiatech_bike_04_10,train,Bike Repair,7
georgiatech_bike_04_12,train,Bike Repair,7
georgiatech_bike_04_2,train,Bike Repair,7
georgiatech_bike_04_4,train,Bike Repair,7
georgiatech_bike_04_6,train,Bike Repair,7
georgiatech_bike_04_8,train,Bike Repair,7
georgiatech_bike_05_13,train,Bike Repair,7
georgiatech_bike_05_2,train,Bike Repair,7
georgiatech_bike_05_4,train,Bike Repair,7
georgiatech_bike_05_6,train,Bike Repair,7
georgiatech_bike_05_7,train,Bike Repair,7
georgiatech_bike_05_9,train,Bike Repair,7
georgiatech_bike_06_10,val,Bike Repair,7
georgiatech_bike_06_12,val,Bike Repair,7
georgiatech_bike_06_2,val,Bike Repair,7
georgiatech_bike_06_4,val,Bike Repair,7
georgiatech_bike_06_6,val,Bike Repair,7
georgiatech_bike_06_8,val,Bike Repair,7
georgiatech_bike_07_10,val,Bike Repair,7
georgiatech_bike_07_12,val,Bike Repair,7
georgiatech_bike_07_2,val,Bike Repair,7
georgiatech_bike_07_4,val,Bike Repair,7
georgiatech_bike_07_6,val,Bike Repair,7
georgiatech_bike_07_8,val,Bike Repair,7
georgiatech_bike_08_10,train,Bike Repair,7
georgiatech_bike_08_12,train,Bike Repair,7
georgiatech_bike_08_14,train,Bike Repair,7
georgiatech_bike_08_2,train,Bike Repair,7
georgiatech_bike_08_4,train,Bike Repair,7
georgiatech_bike_08_6,train,Bike Repair,7
georgiatech_bike_08_8,train,Bike Repair,7
georgiatech_bike_09_11,train,Bike Repair,7
georgiatech_bike_09_2,train,Bike Repair,7
georgiatech_bike_09_4,train,Bike Repair,7
georgiatech_bike_09_6,train,Bike Repair,7
georgiatech_bike_09_8,train,Bike Repair,7
georgiatech_bike_09_9,train,Bike Repair,7
georgiatech_bike_10_10,test,Bike Repair,7
georgiatech_bike_10_12,test,Bike Repair,7
georgiatech_bike_10_2,test,Bike Repair,7
georgiatech_bike_10_4,test,Bike Repair,7
georgiatech_bike_10_6,test,Bike Repair,7
georgiatech_bike_10_8,test,Bike Repair,7
georgiatech_bike_11_2,train,Bike Repair,7
georgiatech_bike_11_4,train,Bike Repair,7
georgiatech_bike_11_5,train,Bike Repair,7
georgiatech_bike_11_7,train,Bike Repair,7
georgiatech_bike_11_8,train,Bike Repair,7
georgiatech_bike_11_9,train,Bike Repair,7
georgiatech_bike_12_10,test,Bike Repair,7
georgiatech_bike_12_12,test,Bike Repair,7
georgiatech_bike_12_2,test,Bike Repair,7
georgiatech_bike_12_4,test,Bike Repair,7
georgiatech_bike_12_6,test,Bike Repair,7
georgiatech_bike_12_8,test,Bike Repair,7
georgiatech_bike_13_11,test,Bike Repair,7
georgiatech_bike_13_2,test,Bike Repair,7
georgiatech_bike_13_3,test,Bike Repair,7
georgiatech_bike_13_5,test,Bike Repair,7
georgiatech_bike_13_7,test,Bike Repair,7
georgiatech_bike_13_9,test,Bike Repair,7
georgiatech_bike_14_10,val,Bike Repair,7
georgiatech_bike_14_12,val,Bike Repair,7
georgiatech_bike_14_2,val,Bike Repair,7
georgiatech_bike_14_6,val,Bike Repair,7
georgiatech_bike_14_8,val,Bike Repair,7
georgiatech_bike_15_10,val,Bike Repair,7
georgiatech_bike_15_12,val,Bike Repair,7
georgiatech_bike_15_2,val,Bike Repair,7
georgiatech_bike_15_4,val,Bike Repair,7
georgiatech_bike_15_6,val,Bike Repair,7
georgiatech_bike_15_8,val,Bike Repair,7
georgiatech_bike_16_10,val,Bike Repair,7
georgiatech_bike_16_12,val,Bike Repair,7
georgiatech_bike_16_14,val,Bike Repair,7
georgiatech_bike_16_2,val,Bike Repair,7
georgiatech_bike_16_6,val,Bike Repair,7
georgiatech_bike_16_8,val,Bike Repair,7
georgiatech_bike_18_10,train,Bike Repair,7
georgiatech_bike_18_12,train,Bike Repair,7
georgiatech_bike_18_15,train,Bike Repair,7
georgiatech_bike_18_2,train,Bike Repair,7
georgiatech_bike_18_4,train,Bike Repair,7
georgiatech_bike_18_6,train,Bike Repair,7
georgiatech_bike_18_8,train,Bike Repair,7
georgiatech_bike_19_10,train,Bike Repair,7
georgiatech_bike_19_12,train,Bike Repair,7
georgiatech_bike_19_2,train,Bike Repair,7
georgiatech_bike_19_4,train,Bike Repair,7
georgiatech_bike_19_6,train,Bike Repair,7
georgiatech_bike_19_8,train,Bike Repair,7
georgiatech_cooking_01_01_2,train,Cooking,4
georgiatech_cooking_01_01_4,train,Cooking,4
georgiatech_cooking_01_02_2,train,Cooking,4
georgiatech_cooking_01_02_4,train,Cooking,4
georgiatech_cooking_01_03_2,train,Cooking,4
georgiatech_cooking_01_03_4,train,Cooking,4
georgiatech_cooking_02_01_2,val,Cooking,4
georgiatech_cooking_02_01_4,val,Cooking,4
georgiatech_cooking_02_01_6,val,Cooking,4
georgiatech_cooking_02_02_2,val,Cooking,4
georgiatech_cooking_02_02_4,val,Cooking,4
georgiatech_cooking_02_02_6,val,Cooking,4
georgiatech_cooking_03_01_2,test,Cooking,4
georgiatech_cooking_03_01_4,test,Cooking,4
georgiatech_cooking_03_01_6,test,Cooking,4
georgiatech_cooking_03_02_2,test,Cooking,4
georgiatech_cooking_03_02_4,test,Cooking,4
georgiatech_cooking_03_03_2,test,Cooking,4
georgiatech_cooking_03_03_4,test,Cooking,4
georgiatech_cooking_03_04_2,test,Cooking,4
georgiatech_cooking_03_04_6,test,Cooking,4
georgiatech_cooking_03_05_2,test,Cooking,4
georgiatech_cooking_03_05_4,test,Cooking,4
georgiatech_cooking_04_01_2,train,Cooking,4
georgiatech_cooking_04_02_2,train,Cooking,4
georgiatech_cooking_04_02_4,train,Cooking,4
georgiatech_cooking_04_03_2,train,Cooking,4
georgiatech_cooking_05_01_2,test,Cooking,4
georgiatech_cooking_05_01_5,test,Cooking,4
georgiatech_cooking_06_01_2,val,Cooking,4
georgiatech_cooking_06_01_5,val,Cooking,4
georgiatech_cooking_06_02_2,val,Cooking,4
georgiatech_cooking_06_02_4,val,Cooking,4
georgiatech_cooking_06_03_2,val,Cooking,4
georgiatech_cooking_07_03_2,train,Cooking,4
georgiatech_cooking_08_01_2,test,Cooking,4
georgiatech_cooking_08_01_4,test,Cooking,4
georgiatech_cooking_08_02_2,test,Cooking,4
georgiatech_cooking_08_02_4,test,Cooking,4
georgiatech_cooking_09_01_3,train,Cooking,4
georgiatech_cooking_09_01_6,train,Cooking,4
georgiatech_cooking_09_02_2,train,Cooking,4
georgiatech_cooking_09_02_4,train,Cooking,4
georgiatech_cooking_10_01_2,train,Cooking,4
georgiatech_cooking_10_01_6,train,Cooking,4
georgiatech_cooking_10_02_2,train,Cooking,4
georgiatech_cooking_10_02_4,train,Cooking,4
georgiatech_cooking_11_01_4,train,Cooking,4
georgiatech_cooking_11_01_6,train,Cooking,4
georgiatech_cooking_11_02_3,train,Cooking,4
georgiatech_cooking_11_02_6,train,Cooking,4
georgiatech_cooking_12_01_2,test,Cooking,4
georgiatech_cooking_12_01_4,test,Cooking,4
georgiatech_cooking_12_02_2,test,Cooking,4
georgiatech_cooking_12_02_4,test,Cooking,4
georgiatech_cooking_13_01_2,val,Cooking,4
georgiatech_cooking_13_02_2,val,Cooking,4
georgiatech_cooking_13_02_4,val,Cooking,4
georgiatech_cooking_14_01_2,train,Cooking,4
georgiatech_cooking_14_01_6,train,Cooking,4
georgiatech_cooking_14_02_2,train,Cooking,4
georgiatech_cooking_14_02_5,train,Cooking,4
georgiatech_cooking_14_02_7,train,Cooking,4
georgiatech_cooking_14_03_2,train,Cooking,4
georgiatech_covid_02_10,val,Health,0
georgiatech_covid_02_12,val,Health,0
georgiatech_covid_02_14,val,Health,0
georgiatech_covid_02_2,val,Health,0
georgiatech_covid_02_4,val,Health,0
georgiatech_covid_02_6,val,Health,0
georgiatech_covid_02_8,val,Health,0
georgiatech_covid_03_10,train,Health,0
georgiatech_covid_03_12,train,Health,0
georgiatech_covid_03_14,train,Health,0
georgiatech_covid_03_2,train,Health,0
georgiatech_covid_03_4,train,Health,0
georgiatech_covid_03_6,train,Health,0
georgiatech_covid_03_8,train,Health,0
georgiatech_covid_04_10,val,Health,0
georgiatech_covid_04_12,val,Health,0
georgiatech_covid_04_14,val,Health,0
georgiatech_covid_04_2,val,Health,0
georgiatech_covid_04_4,val,Health,0
georgiatech_covid_04_6,val,Health,0
georgiatech_covid_04_8,val,Health,0
georgiatech_covid_05_10,train,Health,0
georgiatech_covid_05_12,train,Health,0
georgiatech_covid_05_2,train,Health,0
georgiatech_covid_05_4,train,Health,0
georgiatech_covid_05_6,train,Health,0
georgiatech_covid_05_8,train,Health,0
georgiatech_covid_06_10,val,Health,0
georgiatech_covid_06_12,val,Health,0
georgiatech_covid_06_14,val,Health,0
georgiatech_covid_06_2,val,Health,0
georgiatech_covid_06_4,val,Health,0
georgiatech_covid_06_8,val,Health,0
georgiatech_covid_07_10,train,Health,0
georgiatech_covid_07_12,train,Health,0
georgiatech_covid_07_2,train,Health,0
georgiatech_covid_07_4,train,Health,0
georgiatech_covid_07_6,train,Health,0
georgiatech_covid_07_8,train,Health,0
georgiatech_covid_08_10,test,Health,0
georgiatech_covid_08_12,test,Health,0
georgiatech_covid_08_2,test,Health,0
georgiatech_covid_08_4,test,Health,0
georgiatech_covid_08_6,test,Health,0
georgiatech_covid_08_8,test,Health,0
georgiatech_covid_09_10,train,Health,0
georgiatech_covid_09_12,train,Health,0
georgiatech_covid_09_2,train,Health,0
georgiatech_covid_09_4,train,Health,0
georgiatech_covid_09_6,train,Health,0
georgiatech_covid_09_8,train,Health,0
georgiatech_covid_11_11,test,Health,0
georgiatech_covid_11_13,test,Health,0
georgiatech_covid_11_2,test,Health,0
georgiatech_covid_11_4,test,Health,0
georgiatech_covid_11_7,test,Health,0
georgiatech_covid_11_9,test,Health,0
georgiatech_covid_12_11,train,Health,0
georgiatech_covid_12_13,train,Health,0
georgiatech_covid_12_3,train,Health,0
georgiatech_covid_12_5,train,Health,0
georgiatech_covid_12_7,train,Health,0
georgiatech_covid_12_9,train,Health,0
georgiatech_covid_13_10,train,Health,0
georgiatech_covid_13_2,train,Health,0
georgiatech_covid_13_4,train,Health,0
georgiatech_covid_13_6,train,Health,0
georgiatech_covid_13_8,train,Health,0
georgiatech_covid_14_10,train,Health,0
georgiatech_covid_14_12,train,Health,0
georgiatech_covid_14_4,train,Health,0
georgiatech_covid_14_6,train,Health,0
georgiatech_covid_14_7,train,Health,0
georgiatech_covid_14_8,train,Health,0
georgiatech_covid_15_10,test,Health,0
georgiatech_covid_15_2,test,Health,0
georgiatech_covid_15_4,test,Health,0
georgiatech_covid_15_6,test,Health,0
georgiatech_covid_15_8,test,Health,0
georgiatech_covid_16_10,train,Health,0
georgiatech_covid_16_12,train,Health,0
georgiatech_covid_16_2,train,Health,0
georgiatech_covid_16_4,train,Health,0
georgiatech_covid_16_6,train,Health,0
georgiatech_covid_16_8,train,Health,0
georgiatech_covid_17_11,test,Health,0
georgiatech_covid_17_12,test,Health,0
georgiatech_covid_17_13,test,Health,0
georgiatech_covid_17_2,test,Health,0
georgiatech_covid_17_5,test,Health,0
georgiatech_covid_17_6,test,Health,0
georgiatech_covid_17_7,test,Health,0
georgiatech_covid_17_9,test,Health,0
georgiatech_covid_18_10,val,Health,0
georgiatech_covid_18_12,val,Health,0
georgiatech_covid_18_2,val,Health,0
georgiatech_covid_18_4,val,Health,0
georgiatech_covid_18_6,val,Health,0
georgiatech_covid_18_8,val,Health,0
iiith_cooking_01_1,train,Cooking,4
iiith_cooking_02_1,train,Cooking,4
iiith_cooking_02_3,train,Cooking,4
iiith_cooking_03_1,train,Cooking,4
iiith_cooking_03_3,train,Cooking,4
iiith_cooking_04_1,train,Cooking,4
iiith_cooking_05_1,train,Cooking,4
iiith_cooking_05_3,train,Cooking,4
iiith_cooking_05_5,train,Cooking,4
iiith_cooking_06_1,train,Cooking,4
iiith_cooking_07_1,train,Cooking,4
iiith_cooking_08_1,train,Cooking,4
iiith_cooking_09_1,train,Cooking,4
iiith_cooking_100_2,train,Cooking,4
iiith_cooking_100_4,train,Cooking,4
iiith_cooking_103_2,test,Cooking,4
iiith_cooking_103_4,test,Cooking,4
iiith_cooking_103_6,test,Cooking,4
iiith_cooking_104_2,test,Cooking,4
iiith_cooking_104_4,test,Cooking,4
iiith_cooking_106_2,test,Cooking,4
iiith_cooking_106_4,test,Cooking,4
iiith_cooking_107_2,test,Cooking,4
iiith_cooking_107_4,test,Cooking,4
iiith_cooking_108_2,train,Cooking,4
iiith_cooking_108_4,train,Cooking,4
iiith_cooking_108_5,train,Cooking,4
iiith_cooking_109_2,train,Cooking,4
iiith_cooking_109_4,train,Cooking,4
iiith_cooking_109_5,train,Cooking,4
iiith_cooking_10_1,train,Cooking,4
iiith_cooking_110_2,train,Cooking,4
iiith_cooking_110_4,train,Cooking,4
iiith_cooking_111_2,train,Cooking,4
iiith_cooking_111_4,train,Cooking,4
iiith_cooking_111_5,train,Cooking,4
iiith_cooking_112_2,train,Cooking,4
iiith_cooking_112_3,train,Cooking,4
iiith_cooking_112_4,train,Cooking,4
iiith_cooking_113_2,test,Cooking,4
iiith_cooking_113_3,test,Cooking,4
iiith_cooking_113_5,test,Cooking,4
iiith_cooking_115_2,train,Cooking,4
iiith_cooking_115_3,train,Cooking,4
iiith_cooking_115_5,train,Cooking,4
iiith_cooking_116_2,train,Cooking,4
iiith_cooking_116_4,train,Cooking,4
iiith_cooking_116_5,train,Cooking,4
iiith_cooking_117_2,train,Cooking,4
iiith_cooking_117_4,train,Cooking,4
iiith_cooking_118_2,train,Cooking,4
iiith_cooking_11_1,train,Cooking,4
iiith_cooking_120_2,val,Cooking,4
iiith_cooking_120_4,val,Cooking,4
iiith_cooking_120_6,val,Cooking,4
iiith_cooking_122_2,train,Cooking,4
iiith_cooking_122_4,train,Cooking,4
iiith_cooking_123_2,train,Cooking,4
iiith_cooking_123_4,train,Cooking,4
iiith_cooking_123_6,train,Cooking,4
iiith_cooking_124_2,train,Cooking,4
iiith_cooking_124_4,train,Cooking,4
iiith_cooking_124_5,train,Cooking,4
iiith_cooking_125_2,val,Cooking,4
iiith_cooking_125_3,val,Cooking,4
iiith_cooking_125_4,val,Cooking,4
iiith_cooking_126_2,val,Cooking,4
iiith_cooking_126_3,val,Cooking,4
iiith_cooking_128_2,train,Cooking,4
iiith_cooking_128_4,train,Cooking,4
iiith_cooking_129_2,test,Cooking,4
iiith_cooking_129_3,test,Cooking,4
iiith_cooking_12_1,train,Cooking,4
iiith_cooking_130_2,train,Cooking,4
iiith_cooking_130_4,train,Cooking,4
iiith_cooking_131_2,train,Cooking,4
iiith_cooking_131_4,train,Cooking,4
iiith_cooking_132_2,train,Cooking,4
iiith_cooking_132_4,train,Cooking,4
iiith_cooking_134_2,train,Cooking,4
iiith_cooking_135_2,train,Cooking,4
iiith_cooking_136_2,train,Cooking,4
iiith_cooking_137_2,val,Cooking,4
iiith_cooking_138_2,val,Cooking,4
iiith_cooking_13_1,train,Cooking,4
iiith_cooking_141_2,train,Cooking,4
iiith_cooking_142_2,train,Cooking,4
iiith_cooking_142_4,train,Cooking,4
iiith_cooking_143_2,train,Cooking,4
iiith_cooking_145_2,val,Cooking,4
iiith_cooking_146_2,train,Cooking,4
iiith_cooking_147_2,train,Cooking,4
iiith_cooking_148_2,train,Cooking,4
iiith_cooking_149_2,train,Cooking,4
iiith_cooking_14_1,train,Cooking,4
iiith_cooking_15_1,train,Cooking,4
iiith_cooking_16_1,train,Cooking,4
iiith_cooking_17_1,train,Cooking,4
iiith_cooking_18_1,train,Cooking,4
iiith_cooking_19_1,train,Cooking,4
iiith_cooking_20_1,train,Cooking,4
iiith_cooking_22_1,train,Cooking,4
iiith_cooking_23_1,train,Cooking,4
iiith_cooking_24_1,train,Cooking,4
iiith_cooking_25_1,train,Cooking,4
iiith_cooking_25_3,train,Cooking,4
iiith_cooking_26_1,train,Cooking,4
iiith_cooking_27_1,train,Cooking,4
iiith_cooking_27_3,train,Cooking,4
iiith_cooking_28_1,train,Cooking,4
iiith_cooking_29_1,val,Cooking,4
iiith_cooking_29_3,val,Cooking,4
iiith_cooking_30_1,val,Cooking,4
iiith_cooking_31_1,val,Cooking,4
iiith_cooking_31_3,val,Cooking,4
iiith_cooking_32_1,val,Cooking,4
iiith_cooking_33_1,test,Cooking,4
iiith_cooking_34_1,test,Cooking,4
iiith_cooking_35_1,test,Cooking,4
iiith_cooking_36_1,test,Cooking,4
iiith_cooking_37_1,test,Cooking,4
iiith_cooking_37_3,test,Cooking,4
iiith_cooking_38_1,test,Cooking,4
iiith_cooking_39_1,test,Cooking,4
iiith_cooking_39_3,test,Cooking,4
iiith_cooking_40_1,train,Cooking,4
iiith_cooking_41_1,train,Cooking,4
iiith_cooking_41_3,train,Cooking,4
iiith_cooking_42_1,train,Cooking,4
iiith_cooking_43_1,train,Cooking,4
iiith_cooking_43_3,train,Cooking,4
iiith_cooking_44_1,train,Cooking,4
iiith_cooking_45_1,train,Cooking,4
iiith_cooking_45_3,train,Cooking,4
iiith_cooking_46_2,test,Cooking,4
iiith_cooking_47_2,test,Cooking,4
iiith_cooking_48_2,test,Cooking,4
iiith_cooking_49_2,test,Cooking,4
iiith_cooking_50_2,test,Cooking,4
iiith_cooking_50_4,test,Cooking,4
iiith_cooking_52_2,test,Cooking,4
iiith_cooking_52_4,test,Cooking,4
iiith_cooking_53_2,test,Cooking,4
iiith_cooking_54_2,test,Cooking,4
iiith_cooking_54_4,test,Cooking,4
iiith_cooking_55_2,val,Cooking,4
iiith_cooking_56_2,train,Cooking,4
iiith_cooking_57_2,train,Cooking,4
iiith_cooking_57_4,train,Cooking,4
iiith_cooking_58_2,val,Cooking,4
iiith_cooking_58_4,val,Cooking,4
iiith_cooking_59_2,val,Cooking,4
iiith_cooking_60_2,val,Cooking,4
iiith_cooking_60_4,val,Cooking,4
iiith_cooking_61_2,test,Cooking,4
iiith_cooking_61_4,test,Cooking,4
iiith_cooking_61_6,test,Cooking,4
iiith_cooking_62_2,test,Cooking,4
iiith_cooking_62_4,test,Cooking,4
iiith_cooking_62_6,test,Cooking,4
iiith_cooking_63_2,test,Cooking,4
iiith_cooking_63_4,test,Cooking,4
iiith_cooking_63_6,test,Cooking,4
iiith_cooking_64_2,val,Cooking,4
iiith_cooking_65_2,val,Cooking,4
iiith_cooking_65_4,val,Cooking,4
iiith_cooking_66_2,test,Cooking,4
iiith_cooking_66_4,test,Cooking,4
iiith_cooking_66_6,test,Cooking,4
iiith_cooking_67_2,test,Cooking,4
iiith_cooking_67_4,test,Cooking,4
iiith_cooking_67_6,test,Cooking,4
iiith_cooking_68_2,test,Cooking,4
iiith_cooking_68_4,test,Cooking,4
iiith_cooking_68_6,test,Cooking,4
iiith_cooking_69_2,test,Cooking,4
iiith_cooking_69_4,test,Cooking,4
iiith_cooking_69_6,test,Cooking,4
iiith_cooking_70_2,test,Cooking,4
iiith_cooking_70_4,test,Cooking,4
iiith_cooking_70_6,test,Cooking,4
iiith_cooking_71_2,train,Cooking,4
iiith_cooking_71_4,train,Cooking,4
iiith_cooking_71_6,train,Cooking,4
iiith_cooking_72_2,train,Cooking,4
